timestamp,weather_icon,wind_speed,humidity,temperature,location
2025-04-30T23:27:15+07:00,mist,9.2 km/h,94%,79°,Phường Phú Thượng
2025-04-30T23:27:20+07:00,mist,9.2 km/h,94%,79°,"IQAir UNIS, Phuong Phu Thuong"
2025-04-30T23:27:24+07:00,partly-cloudy-day,7.6 km/h,91%,77°,Hà Nội
2025-04-30T23:27:29+07:00,partly-cloudy-day,10.5 km/h,90%,79°,"Minh Khai - Bắc Từ Liêm, Hà Nội"
2025-04-30T23:27:34+07:00,partly-cloudy-day,9.8 km/h,90%,79°,"Hà Nội: Chi cục BVMT (KK), Hà Nội"
2025-04-30T23:27:39+07:00,partly-cloudy-day,7.9 km/h,91%,79°,"Toa nha Charmvit, 117 D, Hà Nội"
2025-04-30T23:27:43+07:00,mist,9.2 km/h,94%,79°,"Academy Rd, Hà Nội"
2025-04-30T23:27:48+07:00,partly-cloudy-day,8.9 km/h,92%,79°,"UDS Pharma - SmartCity, Hà Nội"
2025-04-30T23:27:53+07:00,partly-cloudy-day,7.1 km/h,91%,77°,"Mipec Long Bien, Hà Nội"
2025-04-30T23:27:58+07:00,mist,9.2 km/h,94%,79°,"Hoangquocviet, Hà Nội"
2025-04-30T23:28:03+07:00,mist,9.2 km/h,94%,79°,"Khu do thi Ciputra, Hà Nội"
2025-04-30T23:28:08+07:00,partly-cloudy-day,6.4 km/h,91%,79°,"UDS Pharmacy - OceanPark1, Văn Giang"
2025-04-30T23:28:13+07:00,partly-cloudy-day,6.8 km/h,91%,79°,"Cu Khoi, Long Bien, Hà Nội"
2025-04-30T23:28:17+07:00,mist,9.2 km/h,94%,79°,"LFAY - French School, Hà Nội"
2025-04-30T23:28:22+07:00,partly-cloudy-day,7.2 km/h,91%,79°,"Linh Dam - ThucPham.com - Vi Ngon Thuong Hang, Hà Nội"
2025-04-30T23:28:27+07:00,partly-cloudy-day,7.1 km/h,91%,77°,Pho Lo Duc 2
2025-04-30T23:28:47+07:00,partly-cloudy-day,6.6 km/h,91%,79°,"Vinhome riverside, HP7"
2025-04-30T23:28:52+07:00,partly-cloudy-day,7.9 km/h,91%,79°,SmartOSC
2025-04-30T23:28:57+07:00,mist,9.2 km/h,94%,79°,Tu Hoa str.
2025-04-30T23:29:02+07:00,partly-cloudy-day,7.1 km/h,91%,79°,Vinh Tuy - ThucPham.com - Vi Ngon Thuong Hang
2025-04-30T23:29:06+07:00,partly-cloudy-day,7.6 km/h,91%,79°,Le Duan - Hoan Kiem
2025-04-30T23:29:11+07:00,mist,9.2 km/h,94%,79°,To Ngoc Van Tay Ho
2025-04-30T23:29:16+07:00,partly-cloudy-day,7.4 km/h,91%,79°,Vivigo.vn
2025-04-30T23:29:20+07:00,partly-cloudy-day,7.9 km/h,91%,79°,Me Tri - May Lam Da Hai Au - Hai Au Group
2025-04-30T23:29:25+07:00,mist,9.2 km/h,94%,77°,Dang Tay Ho
2025-04-30T23:29:30+07:00,mist,9.2 km/h,94%,79°,Ciputra E5
2025-04-30T23:29:34+07:00,mist,9.2 km/h,94%,79°,"Quang Khanh, Tay Ho"
2025-04-30T23:29:39+07:00,mist,9.2 km/h,94%,77°,IQAir Ha Noi
2025-04-30T23:29:44+07:00,partly-cloudy-day,8.4 km/h,92%,79°,Hà Đông
2025-04-30T23:29:49+07:00,partly-cloudy-day,8.4 km/h,92%,79°,ISPH School
2025-04-30T23:29:53+07:00,partly-cloudy-day,8.2 km/h,92%,75°,KV - DAI HOC DAI NAM
2025-04-30T23:30:32+07:00,partly-cloudy-day,6.9 km/h,91%,79°,Hoàn Kiếm
2025-04-30T23:30:37+07:00,partly-cloudy-day,7.1 km/h,91%,77°,Tran Hung Dao
2025-04-30T23:30:42+07:00,mist,9.2 km/h,94%,79°,Tây Hồ
2025-04-30T23:30:46+07:00,mist,9.2 km/h,94%,79°,65/50 Dang Thai Mai
2025-04-30T23:30:51+07:00,mist,9.2 km/h,94%,79°,26 Quang Khanh
2025-04-30T23:30:56+07:00,mist,9.2 km/h,94%,79°,B5 - Admin
2025-04-30T23:31:01+07:00,mist,9.2 km/h,94%,79°,B8 Library & Canteen
2025-04-30T23:31:05+07:00,mist,9.2 km/h,94%,79°,B6 - Admin
2025-04-30T23:31:10+07:00,partly-cloudy-day,7.6 km/h,91%,77°,KT Home Sun S2A
2025-04-30T23:31:15+07:00,mist,9.2 km/h,94%,79°,P2 Ciputra Hanoi
2025-04-30T23:31:20+07:00,mist,9.2 km/h,94%,79°,P01 Ciputra
2025-04-30T23:31:24+07:00,partly-cloudy-day,7.1 km/h,91%,79°,Hai Ba Trung 
2025-04-30T23:31:29+07:00,rain,10.3 km/h,86%,75°,Hà Nội: TT giao lưu văn hóa phố cổ - Hoàn Kiếm - Trạm cảm biến(KK)
2025-04-30T23:31:34+07:00,partly-cloudy-day,7.4 km/h,91%,79°,Hà Nội: Đại Học Bách Khoa cổng Parabol đường Giải Phóng (KK)
2025-04-30T23:31:37+07:00,partly-cloudy-day,7.9 km/h,91%,79°,Thanh Xuân
2025-04-30T23:31:57+07:00,partly-cloudy-day,7.9 km/h,91%,79°,Cầu Giấy
2025-04-30T23:32:02+07:00,mist,9.2 km/h,94%,79°,Đông Anh
2025-04-30T23:32:07+07:00,partly-cloudy-day,10.0 km/h,92%,77°,Phùng
2025-04-30T23:32:12+07:00,mist,9.2 km/h,94%,79°,Trôi
2025-04-30T23:32:17+07:00,partly-cloudy-day,7.6 km/h,91%,77°,Đống Đa
2025-04-30T23:32:22+07:00,mist,9.2 km/h,94%,79°,Mê Linh
2025-04-30T23:32:26+07:00,partly-cloudy-day,8.9 km/h,93%,75°,Quốc Oai
2025-04-30T23:32:31+07:00,mist,9.2 km/h,94%,77°,Sóc Sơn
2025-04-30T23:32:36+07:00,rain,6.4 km/h,91%,79°,Trâu Quỳ
2025-04-30T23:32:41+07:00,partly-cloudy-day,9.2 km/h,94%,79°,Liên Quan
2025-04-30T23:32:45+07:00,partly-cloudy-day,6.8 km/h,92%,75°,Văn Điển
2025-04-30T23:32:50+07:00,partly-cloudy-day,8.2 km/h,93%,75°,Chúc Sơn
2025-04-30T23:32:56+07:00,partly-cloudy-day,9.3 km/h,94%,75°,Phúc Thọ
2025-04-30T23:33:01+07:00,partly-cloudy-day,7.2 km/h,93%,75°,Kim Bài
